TableName,ColumnCount
---------,-----------
ACTIVITYLOG,6
ASMATTACHMENTS,8
BANKRECIMPORT,7
BANKSTATEMENTS,9
BPBATCHES,8
BPBATCHPAYMENTS,13
BPPAYMENTDETAILS,4
BRANCHES,10
BRANCHINFO,7
BRANCHSTAFF,3
CANALYSIS,24
CDELADDRESSES,11
CEXTERNALDATA,3
CGROUPS,17
COMPANY,132
COMPANYBULLETINS,5
COMPANYOPTIONS,7
COMPANYPRINTDATA,4
COMPANYPRINTING,21
COMPANYREFS,4
COMPANYSTATS,3
CONTACTS,28
CONTRACTADDRESSES,7
CONTRACTCOUNTIES,3
CONTRACTSINS,4
COPYUSERGROUPS,3
COPYUSERLIST,13
CRECURRING,12
CREDITPOLICIES,34
CRMACTIVITIES,20
CRMACTRELATEDTO,6
CRMCAMPAIGNLISTS,3
CRMCAMPAIGNS,22
CRMCAMPTARGETS,16
CRMCONFIG,11
CRMCUSTOMREMINDERS,9
CRMDOCUMENTS,13
CRMEMAILLOG,9
CRMLICENSES,5
CRMMODELS,5
CRMNOTES,10
CRMPIPELINES,19
CRMPIPELINESOURCES,4
CRMPIPELINESTAGECHANGES,5
CRMPLINECONTACTS,2
CRMPOSTS,7
CRMQUERIES,12
CRMSYSTEMREMINDERS,6
CRMTAGJOINS,4
CRMTAGLINKS,5
CRMTAGS,7
CSALES,5
CSTORES,13
CUSTOMCONTROLS,7
CUSTOMERS,97
DSATTACHMENTS,6
DSEXPORTLISTS,8
DSFILTERPARAMS,8
DSFILTERSETS,15
DSQUEUEITEMS,19
DSQUEUES,6
EXCELREPORTS,5
gAgedCustomerTrans,11
gAgedSupplierTrans,11
gOpeningBalance,6
gPriceList,8
gProductAsAtDate,10
gProductAverages,6
IMPORTEXPORTDATA,3
IMPORTEXPORTDEF,3
IMPORTEXPORTSETS,12
JCLAIMINVOICED,6
JCLAIMLINES,8
JCLAIMS,12
JCONTRACTORS,12
JCOSTCENTRES,16
JESTIMATEORDERS,6
JESTIMATEQUOTES,9
JEXTERNALDATA,3
JFILTERDATA,4
JFILTERSETS,17
JGROUPS,17
JOBOFFSETS,7
JOBS,96
JPRIORITY,5
JRATES,13
JRETENTIONS,5
JSTAFF,16
JSTAGES,8
JSTATUS,5
JWORKTYPES,6
LALLOCATIONS,5
LAUTOJITEMS,8
LAUTOJOURNAL,6
LBALANCES,17
LCURHISTORY,11
LCURRENCIES,15
LEDGER,40
LEDGERLINKS,4
LISTCONTACTS,3
LOCKING,4
LPROJECTS,8
LSUBACCOUNTS1,7
LSUBACCOUNTS2,7
LTAXRATES,11
LTAXRETURN,58
MAILINGLISTS,13
MESSAGETEMPLATES,10
PAVAILABILITY,4
PBINCONTENTS,6
PBINS,10
PBINSERIALNO,5
PBINTRACKING,11
PERIODS,5
PEXTERNALDATA,3
PFIFODELIVERIES,7
PGROUPS,17
PLOCATIONS,22
PLOCDETAILS,16
PPOSTINGMATRIX,11
PRANGES,4
PRESERVATIONS,13
PRICEDETAILS,18
PRICEHEADERS,10
PRINTQUEUE,5
PRODUCTKITS,9
PRODUCTS,125
PSALES,6
PSERIALNUMBER,8
PSERIALTRACKING,15
PSUBMATRIX,4
PSUBPRODUCTS1,6
PSUBPRODUCTS2,6
PSUBRANGES,6
PSUPPLIERS,18
PUNITS,5
PURCHASEAUTHORITY,3
PURCHASEREQUISITIONS,4
PURCHASEREQUISITIONTRACKING,8
PURCHASETYPES,5
PURCHASEUSERTREE,2
RCTRESPONCE,19
REPORTFAVOURITES,3
REPORTFILTERS,6
REPORTGROUPS,9
REPORTLIST,11
REPORTRECFILTERS,5
REPORTSINGROUPS,3
REPORTSRECENT,5
SCHEDULEREPORTS,8
SCHEDULETASKS,5
SCONTRACTS,29
SETTINGS,4
SEXTERNALDATA,3
SGROUPS,17
SPURCHASES,4
SSUPPLIERDETAILS,17
STOCKTAKEBATCHES,9
STOCKTAKEITEMBINCONTENTS,10
STOCKTAKEITEMS,15
STOCKTAKERANGEBINS,3
STOCKTAKERANGES,4
STOCKTAKES,6
SUPPLIERS,71
TAXPERIODS,3
TRADINGTERMS,7
TRANSB2BLINKS,8
TRANSCURADJ,11
TRANSDETAILS,88
TRANSFERBATCHES,6
TRANSFERITEMS,25
TRANSHEADERS,90
TRANSOFFSETS,9
TRANSVERSIONS,7
USERGROUPS,9
XtractaApprovalUser,3
XtractaCompany,26
XtractaDBUpdateList,5
XtractaDocumentAuditLog,8
XtractaDocuments,8
XtractaImage,4
XtractaTrackDocument,6
XtractaWorkflow,11
ZCOLUMNS,4
ZCUSTOMER_RECEIPTS,32
ZCUSTOMER_STATEMENTS,24
ZCUSTOMTABLE,6
ZDICTIONARY,20
ZJOB_CLAIMS,75
ZJOB_ESTIMATES,43
ZPURCHASE_CREDITS,52
ZPURCHASE_DELIVERIES,51
ZPURCHASE_INVOICES,52
ZPURCHASE_ORDERS,50
ZPURCHASE_REQUISITIONS,47
ZPURCHASE_RETURNS,51
ZSALES_CREDITS,62
ZSALES_DELIVERIES,53
ZSALES_INVOICES,62
ZSALES_ORDERS,54
ZSALES_QUOTES,51
ZSALES_RETURNS,53
ZSOCKETS,11
ZSUPPLIER_REMITTANCES,32
ZSUPPLIER_STATEMENTS,24

(205 rows affected)
