TableName,ColumnName
---------,----------
CONTACTS,AccountID
CRECURRING,AccountID
gOpeningBalance,AccountID
LAUTOJITEMS,AccountID
LBALANCES,AccountID
LEDGERLINKS,AccountID
TRANSHEADERS,AccountID
TRANSOFFSETS,AccountID
BRANCHES,BranchID
BRANCHINFO,BranchID
BRANCHSTAFF,BranchID
CUSTOMERS,BranchID
JOBS,BranchID
LEDGER,BranchID
SUPPLIERS,BranchID
COMPANY,CompanyID
CSTORES,CompanyID
CUSTOMERS,CompanyID
JOBS,CompanyID
LEDGER,CompanyID
PRODUCTS,CompanyID
SUPPLIERS,CompanyID
ZCUSTOMTABLE,CompanyID
CRMACTRELATEDTO,ContactID
CRMCAMPTARGETS,ContactID
CRMCUSTOMREMINDERS,ContactID
CRMEMAILLOG,ContactID
CRMNOTES,ContactID
CRMPLINECONTACTS,contactId
CRMTAGJOINS,ContactID
JCLAIMLINES,CostCentreNo
JCONTRACTORS,CostCentreNo
JCOSTCENTRES,CostCentreNo
PRODUCTS,CostCentreNo
TRANSDETAILS,CostCentreNo
CDELADDRESSES,CustomerID
CRECURRING,CustomerID
CRMACTRELATEDTO,CustomerID
CRMNOTES,CustomerID
CRMPIPELINES,CustomerID
CRMTAGJOINS,CustomerID
CSALES,CustomerID
gAgedCustomerTrans,CustomerID
gPriceList,CustomerID
JOBS,CustomerID
JRETENTIONS,CustomerID
PBINS,CustomerID
PRESERVATIONS,CustomerID
PRICEDETAILS,CustomerID
JCLAIMS,JobID
JCONTRACTORS,JobID
JRETENTIONS,JobID
JSTAGES,JobID
ZJOB_CLAIMS,JobID
JOBOFFSETS,LineItemID
PBINTRACKING,LineItemID
PSERIALTRACKING,LineItemID
TRANSDETAILS,LineItemID
ZJOB_CLAIMS,LineItemID
ZJOB_ESTIMATES,LineItemID
ZPURCHASE_CREDITS,LineItemID
ZPURCHASE_DELIVERIES,LineItemID
ZPURCHASE_INVOICES,LineItemID
ZPURCHASE_ORDERS,LineItemID
ZPURCHASE_REQUISITIONS,LineItemID
ZPURCHASE_RETURNS,LineItemID
ZSALES_CREDITS,LineItemID
ZSALES_DELIVERIES,LineItemID
ZSALES_INVOICES,LineItemID
ZSALES_ORDERS,LineItemID
ZSALES_QUOTES,LineItemID
ZSALES_RETURNS,LineItemID
gPriceList,ProductID
gProductAsAtDate,ProductID
gProductAverages,ProductID
PAVAILABILITY,ProductID
PBINCONTENTS,ProductID
PFIFODELIVERIES,ProductID
PLOCDETAILS,ProductID
PRESERVATIONS,ProductID
PRICEDETAILS,ProductID
PSALES,ProductID
PSERIALNUMBER,ProductID
PSERIALTRACKING,ProductID
PSUBMATRIX,ProductID
PSUPPLIERS,ProductID
STOCKTAKEITEMS,ProductID
TRANSFERITEMS,ProductID
LPROJECTS,ProjectNo
TRANSDETAILS,ProjectNo
TRANSHEADERS,ProjectNo
BPBATCHPAYMENTS,SupplierID
gAgedSupplierTrans,SupplierID
JCONTRACTORS,SupplierID
JESTIMATEQUOTES,SupplierID
PRESERVATIONS,SupplierID
PRODUCTS,SupplierID
PSUPPLIERS,SupplierID
SCONTRACTS,SupplierID
SPURCHASES,SupplierID
SSUPPLIERDETAILS,SupplierID
ZJOB_CLAIMS,SupplierID
BPPAYMENTDETAILS,TransactionID
DSQUEUEITEMS,TransactionID
gAgedCustomerTrans,TransactionID
gAgedSupplierTrans,TransactionID
JCLAIMINVOICED,TransactionID
JESTIMATEQUOTES,TransactionID
JOBOFFSETS,TransactionID
PURCHASEREQUISITIONS,TransactionID
TRANSCURADJ,TransactionID
TRANSDETAILS,TransactionID
TRANSHEADERS,TransactionID
TRANSVERSIONS,TransactionID
ZJOB_CLAIMS,TransactionID

(115 rows affected)
