TableName,ColumnName,DataType
---------,----------,--------
ACTIVITYLOG,ActivityNo,int
BANKRECIMPORT,UniqueID,int
BANKSTATEMENTS,UniqueID,int
BPBATCHES,Uniqueid,int
BPBATCHPAYMENTS,Uniqueid,int
BPPAYMENTDETAILS,Uniqueid,int
BRANCHES,BranchID,int
BRANCHINFO,BranchID,char
BRANCHSTAFF,BranchStaffID,int
CANALYSIS,AnalysisNo,int
CEXTERNALDATA,UniqueID,int
CGROUPS,GroupNo,int
COMPANY,CompanyID,char
COMPANYBULLETINS,UniqueID,int
COMPANYOPTIONS,OptionName,char
COMPANYPRINTDATA,UniqueID,int
COMPANYPRINTING,UniqueID,int
COMPANYREFS,ReferenceID,int
COMPANYSTATS,StatisticName,char
CONTACTS,OutlookID,char
CONTRACTADDRESSES,UniqueID,int
CONTRACTCOUNTIES,UniqueID,int
CONTRACTSINS,UniqueID,int
COPYUSERGROUPS,GroupNo,int
COPYUSERLIST,UserNo,int
CRECURRING,InvoiceID,char
CREDITPOLICIES,PolicyID,int
CRMACTIVITIES,ActivityID,int
CRMACTRELATEDTO,RelatedToID,int
CRMCAMPAIGNLISTS,ID,int
CRMCAMPAIGNS,CampaignID,int
CRMCAMPTARGETS,CampaignTargetID,int
CRMCONFIG,ConfigID,int
CRMDOCUMENTS,DocumentID,int
CRMEMAILLOG,MailLogID,int
CRMMODELS,ModelID,int
CRMNOTES,NoteID,int
CRMPIPELINES,PipelineID,int
CRMPIPELINESOURCES,SourceID,int
CRMPIPELINESTAGECHANGES,UniqueID,int
CRMPLINECONTACTS,pipelineId,int
CRMPLINECONTACTS,contactId,char
CRMPOSTS,CRMPostID,int
CRMQUERIES,CRMQueryID,int
CRMTAGJOINS,TagJoinID,int
CRMTAGLINKS,UniqueID,int
CRMTAGS,TagID,int
CSALES,UniqueID,char
CSTORES,UniqueID,char
CUSTOMCONTROLS,UniqueID,int
CUSTOMERS,UniqueID,char
DSATTACHMENTS,UniqueID,int
DSEXPORTLISTS,UniqueID,int
DSFILTERPARAMS,UniqueID,int
DSFILTERSETS,UniqueID,int
DSQUEUEITEMS,UniqueID,int
DSQUEUES,UniqueID,int
EXCELREPORTS,UniqueID,int
IMPORTEXPORTDEF,SetID,int
IMPORTEXPORTSETS,UniqueID,int
JCLAIMS,UniqueID,int
JCONTRACTORS,UniqueID,int
JCOSTCENTRES,CostCentreNo,char
JESTIMATEORDERS,UniqueID,int
JESTIMATEQUOTES,UniqueID,int
JEXTERNALDATA,UniqueID,int
JFILTERDATA,UniqueID,int
JFILTERSETS,UniqueID,int
JGROUPS,GroupNo,int
JOBOFFSETS,UniqueID,int
JOBS,UniqueID,char
JPRIORITY,PriorityNo,char
JRATES,RateNo,char
JRETENTIONS,RetentionID,int
JSTAFF,UniqueID,char
JSTAGES,StageID,char
JSTATUS,StatusNo,char
JWORKTYPES,UniqueID,int
LALLOCATIONS,AccountCode,char
LAUTOJITEMS,JournalItemID,int
LAUTOJOURNAL,JournalID,int
LBALANCES,LBalancesKey,char
LCURHISTORY,UniqueID,int
LCURRENCIES,CountryCode,int
LEDGER,UniqueID,char
LEDGERLINKS,AccountID,char
LISTCONTACTS,ListContactID,int
LOCKING,LockID,int
LPROJECTS,ProjectNo,int
LSUBACCOUNTS1,SubAccount1Code,char
LSUBACCOUNTS2,SubAccount2Code,char
LTAXRATES,CategoryNo,int
MAILINGLISTS,ListID,int
MESSAGETEMPLATES,UniqueID,int
PAVAILABILITY,AvailabilityID,int
PBINCONTENTS,BinContentsID,int
PBINS,BinID,int
PBINSERIALNO,BinSerialID,int
PBINTRACKING,TrackingID,int
PERIODS,PeriodNumber,int
PEXTERNALDATA,UniqueID,int
PFIFODELIVERIES,FIFOID,int
PGROUPS,GroupNo,int
PLOCATIONS,LocationNo,int
PLOCDETAILS,UniqueID,char
PPOSTINGMATRIX,MatrixID,int
PRANGES,UniqueID,int
PRESERVATIONS,UniqueID,int
PRICEDETAILS,PriceID,int
PRICEHEADERS,TableNumber,int
PRINTQUEUE,UniqueID,int
PRODUCTKITS,KitID,int
PRODUCTS,UniqueID,char
PSALES,UniqueID,char
PSERIALNUMBER,SerialID,int
PSERIALTRACKING,TrackingID,int
PSUBPRODUCTS1,SubProduct1ID,int
PSUBPRODUCTS2,SubProduct2ID,int
PSUBRANGES,RangeID,int
PSUPPLIERS,UniqueID,char
PUNITS,UnitTitle,char
PURCHASEREQUISITIONTRACKING,UniqueID,int
PURCHASETYPES,UniqueID,int
REPORTGROUPS,GroupID,char
REPORTLIST,UniqueID,int
SCHEDULEREPORTS,UniqueID,int
SCHEDULETASKS,UniqueID,int
SETTINGS,SettingID,int
SEXTERNALDATA,UniqueID,int
SGROUPS,GroupNo,int
SPURCHASES,UniqueID,char
STOCKTAKEBATCHES,UniqueID,int
STOCKTAKEITEMBINCONTENTS,UniqueID,int
STOCKTAKEITEMS,UniqueID,int
STOCKTAKES,UniqueID,int
SUPPLIERS,UniqueID,char
TAXPERIODS,PeriodNumber,int
TRADINGTERMS,UniqueID,int
TRANSB2BLINKS,BackToBackID,int
TRANSCURADJ,AdjustmentID,int
TRANSDETAILS,LineItemID,char
TRANSFERBATCHES,UniqueID,int
TRANSFERITEMS,UniqueID,int
TRANSHEADERS,TransactionID,char
TRANSOFFSETS,OffsetsKey,char
TRANSVERSIONS,UniqueID,int
USERGROUPS,GroupNo,int
XtractaApprovalUser,UniqueID,int
XtractaDocumentAuditLog,UniqueID,int
XtractaDocuments,UniqueID,int
XtractaTrackDocument,UniqueID,int
ZCOLUMNS,HeadingID,int
ZCUSTOMER_RECEIPTS,InternalKey,char
ZCUSTOMER_STATEMENTS,InternalKey,char
ZDICTIONARY,ListOrder,int
ZJOB_CLAIMS,InternalKey,char
ZJOB_ESTIMATES,InternalKey,char
ZPURCHASE_CREDITS,InternalKey,char
ZPURCHASE_DELIVERIES,InternalKey,char
ZPURCHASE_INVOICES,InternalKey,char
ZPURCHASE_ORDERS,InternalKey,char
ZPURCHASE_REQUISITIONS,InternalKey,char
ZPURCHASE_RETURNS,InternalKey,char
ZSALES_CREDITS,InternalKey,char
ZSALES_DELIVERIES,InternalKey,char
ZSALES_INVOICES,InternalKey,char
ZSALES_ORDERS,InternalKey,char
ZSALES_QUOTES,InternalKey,char
ZSALES_RETURNS,InternalKey,char
ZSUPPLIER_REMITTANCES,InternalKey,char
ZSUPPLIER_STATEMENTS,InternalKey,char

(171 rows affected)
