"TableName","DateColumnUsed","TotalRows","MinDate","MaxDate","DaysSpan","EstimatedDailyWrites"
"TRANSDETAILS","TradingDate","633690","1/1/2015 12:00:00 AM","9/26/2025 12:00:00 AM","3921","161.61"
"PBINTRACKING","DeliveryDate","274259","4/6/2015 12:00:00 AM","9/26/2025 12:00:00 AM","3826","71.68"
"TRANSHEADERS","TradingDate","244505","1/1/2015 12:00:00 AM","9/30/2025 12:00:00 AM","3925","62.29"
"ACTIVITYLOG","EventDate","30177","1/28/2024 12:00:00 AM","3/11/2026 12:00:00 AM","773","39.04"
"PUNITS","LastEditDateTime","22","4/25/2020 5:32:28 PM","4/26/2020 8:52:39 AM","1","22.00"
"TRANSVERSIONS","EntryDateTime","15300","3/27/2023 10:47:00 AM","9/26/2025 8:03:46 PM","914","16.74"
"TRANSOFFSETS","OffsetDate","55524","1/1/2015 12:00:00 AM","9/25/2025 12:00:00 AM","3920","14.16"
"TRANSCURADJ","TransactionDate","27605","1/4/2015 12:00:00 AM","9/25/2025 12:00:00 AM","3917","7.05"
"PRODUCTS","CreatedDate","14896","4/21/2016 4:14:15 PM","9/26/2025 8:52:30 AM","3445","4.32"
"REPORTSRECENT","RunDateTime","4780","4/15/2016 8:45:33 AM","9/26/2025 12:53:37 PM","3451","1.39"
"PSUPPLIERS","StartDate","9301","1/1/2000 12:00:00 AM","6/30/2018 12:00:00 AM","6755","1.38"
"PSERIALTRACKING","DeliveryDate","25","1/15/2015 12:00:00 AM","3/1/2015 12:00:00 AM","45","0.56"
"BANKSTATEMENTS","StatementDate","285","1/31/2015 12:00:00 AM","9/26/2025 12:00:00 AM","3891","0.07"
"PLOCATIONS","LastEditDateTime","2","1/13/2017 12:00:00 AM","3/1/2017 9:17:44 PM","47","0.04"
"PERIODS","PeriodEndDate","240","1/31/2014 12:00:00 AM","12/31/2033 12:00:00 AM","7274","0.03"
"LEDGER","LastEditDateTime","106","11/15/2014 2:23:51 AM","9/9/2025 2:27:50 PM","3951","0.03"
"LCURHISTORY","EntryDateTime","67","1/5/2015 6:30:17 PM","4/7/2025 2:13:08 PM","3745","0.02"
"LSUBACCOUNTS1","LastEditDateTime","64","12/8/2014 10:10:13 AM","6/6/2023 3:43:49 PM","3102","0.02"
"SUPPLIERS","CreatedDate","54","5/13/2016 9:10:55 AM","2/28/2025 3:46:28 PM","3213","0.02"
