"TableName","RowCounts"
"TRANSDETAILS","633690"
"PBINTRACKING","274259"
"TRANSHEADERS","244505"
"PSALES","81523"
"ZPURCHASE_INVOICES","77283"
"gProductAverages","75022"
"TRANSOFFSETS","55524"
"ZSALES_INVOICES","43973"
"LBALANCES","43487"
"ACTIVITYLOG","30177"
"TRANSCURADJ","27605"
"ZSALES_ORDERS","22628"
"ZCUSTOMER_RECEIPTS","20088"
"PLOCDETAILS","19023"
"REPORTRECFILTERS","18849"
"ZSALES_DELIVERIES","17154"
"TRANSVERSIONS","15300"
"PRODUCTS","14896"
"ZSUPPLIER_REMITTANCES","11390"
"PSUPPLIERS","9301"
"ZPURCHASE_ORDERS","8461"
"PBINCONTENTS","5052"
"REPORTSRECENT","4780"
"PBINS","4730"
"SETTINGS","4505"
"PRODUCTKITS","3461"
"ZSALES_QUOTES","1887"
"gAgedCustomerTrans","1885"
"SPURCHASES","1009"
"CSALES","566"
"REPORTSINGROUPS","446"
"REPORTFILTERS","359"
"gOpeningBalance","347"
"BANKSTATEMENTS","285"
"ZSALES_CREDITS","252"
"PERIODS","240"
"gPriceList","232"
"gAgedSupplierTrans","222"
"REPORTLIST","188"
"LEDGERLINKS","183"
"ZPURCHASE_CREDITS","132"
"LEDGER","106"
"COPYUSERGROUPS","99"
"EXCELREPORTS","99"
"LCURHISTORY","67"
"LSUBACCOUNTS1","64"
"SUPPLIERS","54"
"CONTRACTCOUNTIES","48"
"TAXPERIODS","48"
"TRADINGTERMS","43"
"COPYUSERLIST","35"
"CDELADDRESSES","32"
"TRANSFERITEMS","31"
"PGROUPS","29"
"COMPANYSTATS","28"
"PSERIALTRACKING","25"
"COMPANYPRINTING","23"
"PUNITS","22"
"TRANSFERBATCHES","19"
"COMPANYREFS","18"
"CUSTOMERS","17"
"LCURRENCIES","16"
"ZDICTIONARY","15"
"CONTACTS","14"
"REPORTGROUPS","12"
"PSERIALNUMBER","12"
"STOCKTAKERANGES","11"
"COMPANYOPTIONS","10"
"STOCKTAKES","8"
"CGROUPS","6"
"ZSOCKETS","3"
"MESSAGETEMPLATES","3"
"JWORKTYPES","3"
"LTAXRATES","3"
"IMPORTEXPORTDATA","3"
"SGROUPS","2"
"COMPANYPRINTDATA","2"
"PLOCATIONS","2"
"ZSALES_RETURNS","2"
"CANALYSIS","1"
"LTAXRETURN","1"
"XtractaCompany","1"
"COMPANY","1"
"CRMMODELS","1"
"IMPORTEXPORTSETS","1"
"JGROUPS","1"
"JCOSTCENTRES","1"
